,SMB,HML,Regression L2_SMB_return,Regression L1_SMB_return,SVM_SMB_return,RF_SMB_return,MLP_SMB_return,KNN_SMB_return,LSTM_SMB_return,GB_SMB_return,AdaB_SMB_return,GRU_12_SMB_return,Regression L2_HML_return,Regression L1_HML_return,SVM_HML_return,RF_HML_return,MLP_HML_return,KNN_HML_return,LSTM_HML_return,GB_HML_return,Adab_HML_return,GRU_12_HML_return,Regression L2_SMB_or_HML_return,Regression L1_SMB_or_HML_return,SVM_SMB_or_HML_return,RF_SMB_or_HML_return,MLP_SMB_or_HML_return,KNN_SMB_or_HML_return,LSTM_SMB_or_HML_return,GB_SMB_or_HML_return,Adab_SMB_or_HML_return,GRU_12_SMB_or_HML_return
199110,0.009,-0.0043,0.009,0.009,0.009,-0.009,-0.009,-0.009,-0.009,0.009,0.009,0.009,0.0043,0.0043,-0.0043,-0.0043,0.0043,0.0043,0.0043,-0.0043,-0.0043,0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,0.009,-0.0043,-0.0043,0.009
199111,-0.0048,-0.0193,-0.0048,-0.0048,-0.0048,-0.0048,0.0048,0.0048,0.0048,-0.0048,-0.0048,-0.0048,0.0193,0.0193,-0.0193,-0.0193,0.0193,-0.0193,0.0193,-0.0193,-0.0193,0.0193,-0.0048,-0.0048,-0.0193,-0.0193,-0.0193,-0.0193,-0.0048,-0.0193,-0.0193,-0.0048
199112,-0.0224,-0.0403,-0.0224,-0.0224,-0.0224,0.0224,0.0224,0.0224,0.0224,-0.0224,-0.0224,-0.0224,-0.0403,0.0403,-0.0403,-0.0403,0.0403,-0.0403,0.0403,-0.0403,-0.0403,-0.0403,-0.0403,-0.0403,-0.0403,-0.0403,-0.0403,-0.0403,-0.0224,-0.0224,-0.0403,-0.0224
199201,0.0847,0.0451,0.0847,0.0847,0.0847,0.0847,-0.0847,0.0847,0.0847,0.0847,0.0847,0.0847,-0.0451,-0.0451,0.0451,0.0451,-0.0451,0.0451,-0.0451,-0.0451,0.0451,-0.0451,0.0847,0.0847,0.0451,0.0451,0.0451,0.0451,0.0847,0.0451,0.0451,0.0847
199202,0.0088,0.0637,0.0088,0.0088,0.0088,0.0088,-0.0088,-0.0088,-0.0088,0.0088,0.0088,0.0088,0.0637,0.0637,0.0637,0.0637,-0.0637,0.0637,-0.0637,0.0637,0.0637,0.0637,0.0088,0.0088,0.0637,0.0637,0.0637,0.0637,0.0088,0.0637,0.0637,0.0088
199203,-0.0103,0.0365,-0.0103,-0.0103,-0.0103,-0.0103,0.0103,-0.0103,-0.0103,-0.0103,0.0103,-0.0103,0.0365,0.0365,0.0365,0.0365,-0.0365,0.0365,-0.0365,-0.0365,-0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,-0.0103,-0.0103,0.0365,-0.0103
199204,-0.0612,0.0431,-0.0612,-0.0612,-0.0612,0.0612,0.0612,0.0612,-0.0612,-0.0612,0.0612,-0.0612,0.0431,0.0431,0.0431,0.0431,-0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,0.0431,-0.0612,0.0431,0.0431,0.0431
199205,0.0039,0.0128,0.0039,0.0039,-0.0039,0.0039,-0.0039,-0.0039,0.0039,0.0039,0.0039,0.0039,0.0128,0.0128,0.0128,0.0128,-0.0128,0.0128,0.0128,-0.0128,-0.0128,0.0128,0.0128,0.0039,0.0128,0.0128,0.0128,0.0128,0.0039,0.0128,0.0128,0.0039
199206,-0.0309,0.034,-0.0309,-0.0309,-0.0309,0.0309,0.0309,0.0309,-0.0309,-0.0309,0.0309,-0.0309,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,-0.034,0.034,0.034,-0.0309,0.034,0.034,-0.0309,0.034,-0.0309,-0.0309,0.034,-0.0309
199207,-0.0044,-0.0053,0.0044,-0.0044,0.0044,0.0044,0.0044,0.0044,-0.0044,0.0044,-0.0044,-0.0044,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0044,-0.0053,-0.0044,-0.0053,-0.0053,-0.0053
